duration_months,event_observed,is_15yr,orig_year,high_ltv,rate_spread,PropertyState_West Coast,PropertyState_South,PropertyState_Others,PropertyState_Northeast,PropertyType_SF,PropertyType_PU,PropertyType_MH,PropertyType_LH,PropertyType_CP,Occupancy_S,Occupancy_O,LoanPurpose_P,LoanPurpose_N,Channel_T,Channel_R,Channel_C,NumBorrowers,OrigLoanTerm,PPM,OrigInterestRate,LTV,OrigUPB,DTI,OCLTV,Units,MIP,FirstTimeHomebuyer,CreditScore
55,0,0,1999,0,0.125,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.0,52.0,150000,15.0,52,1,0,0,670.5336708312466
39,0,0,1999,0,0.0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.875,80.0,300000,39.0,80,1,0,0,670.5336708312466
47,0,0,1999,0,-0.125,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,360.0,0,6.75,78.0,95000,28.0,78,1,0,0,670.5336708312466
55,0,0,1999,1,-0.25,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,6.625,90.0,149000,35.0,90,1,25,0,670.5336708312466
212,0,0,1999,0,-0.375,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.5,70.0,80000,28.0,70,1,0,0,670.5336708312466
17,0,0,1999,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.875,54.0,35000,11.0,54,1,0,0,670.5336708312466
75,0,0,1999,1,-0.375,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.5,90.0,162000,34.0,90,1,25,0,670.5336708312466
28,1,0,1999,1,0.125,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,7.0,95.0,226000,29.0,95,1,30,0,670.5336708312466
62,0,0,1999,1,-0.125,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,360.0,0,6.75,84.0,212000,41.0,84,1,12,0,670.5336708312466
29,0,0,1999,1,1.875,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,360.0,0,8.75,90.0,51000,28.0,90,1,25,0,670.5336708312466
58,1,0,1999,1,0.125,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,7.0,90.0,77000,35.0,90,1,25,0,670.5336708312466
83,1,0,1999,1,0.25,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,7.125,95.0,110000,32.0,95,1,30,0,670.5336708312466
27,0,0,1999,1,-0.375,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.5,90.0,82000,45.0,90,1,25,0,670.5336708312466
62,1,0,1999,0,-0.375,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2,360.0,0,6.5,60.0,240000,14.0,60,1,0,0,670.5336708312466
10,0,0,1999,0,-0.125,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,360.0,0,6.75,78.0,112000,18.0,78,1,0,0,670.5336708312466
31,0,0,1999,1,0.125,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.0,95.0,219000,41.0,95,1,30,0,670.5336708312466
45,1,0,1999,0,0.75,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,360.0,0,7.625,68.0,236000,37.0,68,1,0,0,670.5336708312466
91,0,0,1999,0,-0.125,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,360.0,0,6.75,36.0,67000,20.0,36,1,0,0,670.5336708312466
133,1,0,1999,0,-0.125,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2,360.0,0,6.75,55.0,195000,20.0,55,1,0,0,670.5336708312466
37,0,0,1999,1,0.125,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,7.0,95.0,137000,28.0,95,1,30,0,670.5336708312466
40,0,0,1999,1,0.0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,6.875,96.0,164000,28.0,96,1,30,0,670.5336708312466
165,0,0,1999,0,-0.375,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.5,75.0,115000,45.0,75,1,0,0,670.5336708312466
11,0,0,1999,1,-0.375,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,6.5,90.0,198000,29.0,90,1,30,0,670.5336708312466
